,filename,label
0,SSB_LEANING1.jpg,2
1,SSB_LEANING2.jpg,2
2,SSB_LEANING3.jpg,2
3,SSB_LEANING4.jpg,2
4,SSB_LEANING5.jpg,2
5,SSB_LEANING6.jpg,2
6,SSB_LEANING7.jpg,2
7,SSB_LEANING8.jpg,2
8,SSB_LEANING9.jpg,2
9,SSB_LEANING10.jpg,2
10,SSB_LEANING11.jpg,2
11,SSB_LEANING12.jpg,2
12,SSB_LEANING13.jpg,2
13,SSB_LEANING14.jpg,2
14,SSB_LEANING15.jpg,2
15,SSB_LEANING16.jpg,2
16,SSB_LEANING17.jpg,2
17,SSB_LEANING18.jpg,2
18,SSB_LEANING19.jpg,2
19,SSB_LEANING20.jpg,2
20,SSB_LEANING21.jpg,2
21,SSB_LEANING22.jpg,2
22,SSB_LEANING23.jpg,2
23,SSB_LEANING24.jpg,2
24,SSB_LEANING25.jpg,2
25,SSB_LEANING26.jpg,2
26,SSB_LEANING27.jpg,2
27,SSB_LEANING28.jpg,2
28,SSB_LEANING29.jpg,2
29,SSB_LEANING30.jpg,2
